transaction_id,customer_id,date,hour,amount,transaction_type,payment_method,location,previous_location,device_type,device_changed,is_international,previous_amount,transaction_frequency,distance_from_previous,failed_attempts,account_age_days,is_fraud
T001,C1001,2026-08-01,10,250.50,POS,Card,Hyderabad,Hyderabad,Mobile,0,0,200.00,2,3,0,420,0
T002,C1002,2026-08-01,14,1200.00,Online,UPI,Hyderabad,Hyderabad,Mobile,0,0,900.00,3,5,0,300,0
T003,C1003,2026-08-02,18,75.25,POS,Card,Chennai,Chennai,Mobile,0,0,100.00,1,2,0,650,0
T004,C1004,2026-08-02,3,85000.00,Online,Card,Dubai,Hyderabad,Desktop,1,1,1200.00,8,2500,3,15,1
T005,C1005,2026-08-03,11,450.00,POS,UPI,Hyderabad,Hyderabad,Mobile,0,0,400.00,2,4,0,500,0
T006,C1006,2026-08-03,15,3200.00,Online,UPI,Mumbai,Mumbai,Mobile,0,0,2800.00,4,8,0,220,0
T007,C1007,2026-08-04,2,95000.00,Online,Card,London,Hyderabad,Desktop,1,1,1500.00,10,6800,4,10,1
T008,C1008,2026-08-04,12,800.00,POS,Card,Hyderabad,Hyderabad,Mobile,0,0,750.00,2,3,0,730,0
T009,C1009,2026-08-05,16,1500.00,Online,UPI,Bangalore,Bangalore,Desktop,0,0,1300.00,3,6,0,400,0
T010,C1010,2026-08-05,1,65000.00,Online,Card,Singapore,Hyderabad,Mobile,1,1,1000.00,9,3900,3,20,1
T011,C1011,2026-08-06,9,350.00,POS,UPI,Hyderabad,Hyderabad,Mobile,0,0,300.00,1,2,0,800,0
T012,C1012,2026-08-06,13,4200.00,Online,Net Banking,Delhi,Delhi,Desktop,0,0,3900.00,3,7,0,250,0
T013,C1013,2026-08-07,4,78000.00,Online,Card,Paris,Hyderabad,Desktop,1,1,900.00,7,7000,4,12,1
T014,C1014,2026-08-07,10,600.00,POS,UPI,Chennai,Chennai,Mobile,0,0,550.00,2,3,0,540,0
T015,C1015,2026-08-08,17,2300.00,Online,UPI,Hyderabad,Hyderabad,Mobile,0,0,2000.00,3,5,0,330,0
T016,C1016,2026-08-08,3,55000.00,Online,Card,New York,Hyderabad,Desktop,1,1,800.00,8,13500,3,8,1
T017,C1017,2026-08-09,11,950.00,POS,Card,Mumbai,Mumbai,Mobile,0,0,900.00,2,4,0,620,0
T018,C1018,2026-08-09,19,1800.00,Online,UPI,Bangalore,Bangalore,Desktop,0,0,1600.00,3,6,0,290,0
T019,C1019,2026-08-10,2,42000.00,Online,Card,Dubai,Hyderabad,Mobile,1,1,700.00,7,2500,2,18,1
T020,C1020,2026-08-10,14,700.00,POS,UPI,Hyderabad,Hyderabad,Mobile,0,0,650.00,2,3,0,450,0
